'Elapsed time','ECG'
'0:09.656',-0.280
'0:09.660',-0.280
'0:09.664',-0.285
'0:09.668',-0.290
'0:09.672',-0.290
'0:09.676',-0.285
'0:09.680',-0.285
'0:09.684',-0.285
'0:09.688',-0.265
'0:09.692',-0.250
'0:09.696',-0.215
'0:09.700',-0.165
'0:09.704',-0.190
'0:09.708',-0.175
'0:09.712',-0.160
'0:09.716',-0.160
'0:09.720',-0.200
'0:09.724',-0.270
'0:09.728',-0.365
'0:09.732',-0.470
'0:09.736',-0.515
'0:09.740',-0.550
'0:09.744',-0.575
'0:09.748',-0.605
'0:09.752',-0.620
'0:09.756',-0.680
'0:09.760',-0.795
'0:09.764',-0.990
'0:09.768',-1.150
'0:09.772',-1.235
'0:09.776',-1.275
'0:09.780',-1.425
'0:09.784',-1.640
'0:09.788',-1.865
'0:09.792',-2.010
'0:09.796',-2.035
'0:09.800',-1.930
'0:09.804',-1.875
'0:09.808',-1.820
'0:09.812',-1.680
'0:09.816',-1.490
'0:09.820',-1.310
'0:09.824',-1.155
'0:09.828',-1.030
'0:09.832',-0.915
'0:09.836',-0.790
'0:09.840',-0.640
'0:09.844',-0.520
'0:09.848',-0.415
'0:09.852',-0.320
'0:09.856',-0.225
'0:09.860',-0.130
'0:09.864',-0.090
'0:09.868',-0.050
'0:09.872',0.025
'0:09.876',0.070
'0:09.880',0.070
'0:09.884',0.090
'0:09.888',0.110
'0:09.892',0.135
'0:09.896',0.145
'0:09.900',0.155
'0:09.904',0.155
'0:09.908',0.180
'0:09.912',0.205
'0:09.916',0.225
'0:09.920',0.235
'0:09.924',0.245
'0:09.928',0.245
'0:09.932',0.265
'0:09.936',0.275
'0:09.940',0.290
'0:09.944',0.300
'0:09.948',0.305
'0:09.952',0.310
'0:09.956',0.295
'0:09.960',0.300
'0:09.964',0.295
'0:09.968',0.290
'0:09.972',0.285
'0:09.976',0.280
'0:09.980',0.260
'0:09.984',0.245
'0:09.988',0.220
'0:09.992',0.200
'0:09.996',0.175
